title,year,genre,rating,season,episodes
Peaky Blinders,2013,Crime;Drama,8.8,6,6
Black Mirror,2011,Drama;Sci-Fi;Thriller,8.8,1,3
Black Mirror,2011,Drama;Sci-Fi;Thriller,8.8,2,3
Black Mirror,2011,Drama;Sci-Fi;Thriller,8.8,3,6
The Witcher,2019,Action;Adventure;Drama,8.2,1,8
The Witcher,2019,Action;Adventure;Drama,8.2,2,8
Money Heist,2017,Action;Crime;Mystery,8.3,1,13
Money Heist,2017,Action;Crime;Mystery,8.3,2,9
Ozark,2017,Crime;Drama;Thriller,8.4,1,10
Ozark,2017,Crime;Drama;Thriller,8.4,2,10
Ozark,2017,Crime;Drama;Thriller,8.4,3,10
Ozark,2017,Crime;Drama;Thriller,8.4,4,14
The Boys,2019,Action;Comedy;Crime,8.7,1,8
The Boys,2019,Action;Comedy;Crime,8.7,2,8
Succession,2018,Comedy;Drama,8.8,1,10
Succession,2018,Comedy;Drama,8.8,2,10
Succession,2018,Comedy;Drama,8.8,3,9
Succession,2018,Comedy;Drama,8.8,4,10
